codigo_a,codigo_b,departamento,municipio,establecimiento_a,establecimiento_b,similitud,decision
16-14-0054-46,16-14-0112-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0113-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0114-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0115-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0116-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0117-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-14-0054-46,16-14-0118-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0918-46,16-01-1393-46,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO DEL NORTE,98.41,PENDIENTE DE REVISION
16-01-0918-46,16-01-8294-46,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO DEL NORTE,98.41,PENDIENTE DE REVISION
16-01-0918-46,16-01-8331-46,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO DEL NORTE,98.41,PENDIENTE DE REVISION
16-01-0918-46,16-01-9956-46,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO DEL NORTE,98.41,PENDIENTE DE REVISION
16-01-0428-46,16-01-1041-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0428-46,16-01-1042-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0428-46,16-01-1043-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0428-46,16-01-1046-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0428-46,16-01-1047-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0428-46,16-01-1048-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1041-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1042-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1043-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1046-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1047-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0616-46,16-01-1048-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1041-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1042-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1043-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1046-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1047-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0642-46,16-01-1048-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1041-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1042-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1043-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1046-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1047-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0926-46,16-01-1048-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0927-46,16-01-1041-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0927-46,16-01-1042-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0927-46,16-01-1043-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
16-01-0927-46,16-01-1046-46,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.74,PENDIENTE DE REVISION
