variable,transformacion,antes,despues
ESTABLECIMIENTO,normalizar_faltantes,'\xa0',<NA>
DIRECCION,normalizar_faltantes,'\xa0',<NA>
DIRECCION,normalizar_faltantes,'\xa0',<NA>
DIRECCION,normalizar_faltantes,'\xa0',<NA>
DIRECCION,normalizar_faltantes,'\xa0',<NA>
DIRECCION,normalizar_faltantes,'\xa0',<NA>
SUPERVISOR,normalizar_faltantes,' ',<NA>
SUPERVISOR,normalizar_faltantes,' ',<NA>
SUPERVISOR,normalizar_faltantes,' ',<NA>
SUPERVISOR,normalizar_faltantes,' ',<NA>
SUPERVISOR,normalizar_faltantes,' ',<NA>
DIRECTOR,normalizar_faltantes,'\xa0',<NA>
DIRECTOR,normalizar_faltantes,'\xa0',<NA>
DIRECTOR,normalizar_faltantes,'\xa0',<NA>
DIRECTOR,normalizar_faltantes,'\xa0',<NA>
DIRECTOR,normalizar_faltantes,'\xa0',<NA>
TELEFONO,normalizar_faltantes,'\xa0',<NA>
TELEFONO,normalizar_faltantes,'\xa0',<NA>
TELEFONO,normalizar_faltantes,'\xa0',<NA>
TELEFONO,normalizar_faltantes,'\xa0',<NA>
TELEFONO,normalizar_faltantes,'\xa0',<NA>
DISTRITO,normalizar_faltantes,'\xa0',<NA>
DISTRITO,normalizar_faltantes,'\xa0',<NA>
DISTRITO,normalizar_faltantes,'\xa0',<NA>
DISTRITO,normalizar_faltantes,'\xa0',<NA>
DISTRITO,normalizar_faltantes,'\xa0',<NA>
ESTABLECIMIENTO,quitar_invisibles,'\xa0',' '
ESTABLECIMIENTO,normalizar_espacios,'INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA','INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA'
ESTABLECIMIENTO,normalizar_espacios,'INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA','INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA'
ESTABLECIMIENTO,normalizar_espacios,'COLEGIO MIXTO  ALOTENANGO','COLEGIO MIXTO ALOTENANGO'
ESTABLECIMIENTO,normalizar_espacios,'INSTITUTO MIXTO  PRIVADO  EDUCATIVO DE BACHILLERATO  IMPEB','INSTITUTO MIXTO PRIVADO EDUCATIVO DE BACHILLERATO IMPEB'
ESTABLECIMIENTO,normalizar_espacios,'COLEGIO MIXTO  LICEO LATINO','COLEGIO MIXTO LICEO LATINO'
DIRECCION,quitar_invisibles,'\xa0',' '
DIRECCION,quitar_invisibles,'\xa0',' '
DIRECCION,quitar_invisibles,'\xa0',' '
DIRECCION,quitar_invisibles,'\xa0',' '
DIRECCION,quitar_invisibles,'\xa0',' '
DIRECCION,normalizar_espacios,'25  CA.  04-20  INTERIOR  Z. 10  SAN  JOSE  LA COMUNIDAD','25 CA. 04-20 INTERIOR Z. 10 SAN JOSE LA COMUNIDAD'
DIRECCION,normalizar_espacios,'2DA. AVENIDA  1-37 ZONA 2 COLONIA ACEITUNO','2DA. AVENIDA 1-37 ZONA 2 COLONIA ACEITUNO'
