variable,problema,valor,frecuencia
DISTRITO,caracteres invisibles, ,532
DISTRITO,puntuacion sobrante al inicio o final,01-,67
DISTRITO,puntuacion sobrante al inicio o final,17-,2
DISTRITO,puntuacion sobrante al inicio o final,10-,1
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,267
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,19
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO PRE-UNIVERSITARIO  ""FRIEDRICH VON HAYEK""",5
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PARTICULAR MIXTO  SAN JOSE,4
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  NAKBÉ,4
ESTABLECIMIENTO,espacios multiples internos,LICEO COMERCIAL TECNOLOGICO  EL RODEO,4
ESTABLECIMIENTO,espacios multiples internos,LICEO DE COMPUTACION  C.S.S,4
ESTABLECIMIENTO,espacios multiples internos,LICEO  PREUNIVERSITARIO SANTINY,4
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO OFICIAL DE EDUCACIÓN DIVERSIFICADA,4
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADO,4
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO  PRIVADO MIXTO ""CONCEPCIÓN""",3
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO DE INFORMATICA  SINAI,3
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO DE CIENCIAS COMERCIALES  SANARATE,3
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO  ATENAS,3
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA SAN JUAN BAUTISTA,3
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO TÉCNICO PROFESIONAL  ""MIGUEL ANGEL ASTURIAS""",3
ESTABLECIMIENTO,espacios multiples internos,ESCUELA EN CIENCIAS DE LA COMUNICACION  ECCO,3
ESTABLECIMIENTO,espacios multiples internos,CENTRO DE ESTUDIOS AVANZADOS NO´J  -CEAN-,3
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO MIXTO DE EDUCACIÓN DE ORIENTE  ""IMIDEO NÉRICI""",3
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO  NACIONAL DE EDUCACIÓN DIVERSIFICADA,3
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  EVANGÉLICO  AMÉRICA LATINA,3
ESTABLECIMIENTO,espacios multiples internos,"CENTRO DE FORMACION PREUNIVERSITARIA  ""DR. REICHMANN"" (CEFPRE)",3
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO  ""SAN CARLOS""",3
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TECNICO INDUSTRIAL  HENRY FORD,3
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA DE BÁRCENA,3
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO EVANGELICO  AMERICA LATINA,3
ESTABLECIMIENTO,espacios multiples internos,LICEO TÉCNICO VOCACIONAL  GALILEI,3
ESTABLECIMIENTO,espacios multiples internos,LICEO MIXTO EN COMPUTACION  MONTELIMAR,3
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  OSORIO SANDOVAL,3
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO PROFESIONAL  VISION EDUCATIVA 2000,2
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO TECNICO  PRIVADO ""JOSE ORTEGA Y  GASSET""",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO  FUENTE DE BENDICION,2
