CODIGO,Frecuencia,Porcentaje
19-11-0029-46,1,0.01
16-01-0137-46,1,0.01
16-01-0138-46,1,0.01
16-01-0139-46,1,0.01
16-01-0140-46,1,0.01
16-01-0141-46,1,0.01
16-01-0142-46,1,0.01
16-01-0143-46,1,0.01
16-01-0145-46,1,0.01
16-01-0147-46,1,0.01
16-01-0150-46,1,0.01
16-01-0155-46,1,0.01
16-01-0428-46,1,0.01
16-01-0471-46,1,0.01
16-01-0478-46,1,0.01
16-01-0481-46,1,0.01
16-01-0483-46,1,0.01
16-01-0557-46,1,0.01
16-01-0558-46,1,0.01
16-01-0559-46,1,0.01
16-01-0563-46,1,0.01
16-01-0565-46,1,0.01
16-01-0568-46,1,0.01
16-01-0570-46,1,0.01
16-01-0572-46,1,0.01
16-01-0573-46,1,0.01
16-01-0574-46,1,0.01
19-05-0732-46,1,0.01
19-05-1003-46,1,0.01
19-05-1080-46,1,0.01
19-05-1194-46,1,0.01
19-06-0005-46,1,0.01
19-06-0008-46,1,0.01
19-06-0015-46,1,0.01
19-06-0017-46,1,0.01
19-05-0049-46,1,0.01
19-05-0050-46,1,0.01
19-05-0051-46,1,0.01
19-05-0052-46,1,0.01
19-05-0058-46,1,0.01
19-05-0060-46,1,0.01
19-05-0062-46,1,0.01
19-05-0343-46,1,0.01
19-05-0026-46,1,0.01
19-05-0028-46,1,0.01
19-05-0030-46,1,0.01
19-05-0038-46,1,0.01
19-05-0045-46,1,0.01
19-05-0046-46,1,0.01
19-05-0047-46,1,0.01
19-05-0048-46,1,0.01
19-04-0358-46,1,0.01
19-04-0625-46,1,0.01
19-04-1001-46,1,0.01
19-04-1149-46,1,0.01
19-04-1263-46,1,0.01
19-05-0003-46,1,0.01
19-05-0014-46,1,0.01
19-05-0016-46,1,0.01
16-01-1047-46,1,0.01
16-01-1048-46,1,0.01
16-01-1051-46,1,0.01
16-01-1055-46,1,0.01
16-01-1057-46,1,0.01
16-01-1058-46,1,0.01
16-01-1059-46,1,0.01
16-01-1172-46,1,0.01
16-01-1002-46,1,0.01
16-01-1005-46,1,0.01
16-01-1008-46,1,0.01
16-01-1009-46,1,0.01
16-01-1041-46,1,0.01
16-01-1042-46,1,0.01
16-01-1043-46,1,0.01
16-01-1046-46,1,0.01
16-01-0982-46,1,0.01
16-01-0986-46,1,0.01
16-01-0987-46,1,0.01
16-01-0990-46,1,0.01
16-01-0991-46,1,0.01
16-01-0994-46,1,0.01
16-01-0997-46,1,0.01
16-01-1001-46,1,0.01
16-01-0913-46,1,0.01
16-01-0915-46,1,0.01
16-01-0917-46,1,0.01
16-01-0918-46,1,0.01
16-01-0919-46,1,0.01
16-01-0922-46,1,0.01
16-01-0926-46,1,0.01
16-01-0927-46,1,0.01
16-01-8294-46,1,0.01
16-01-8317-46,1,0.01
16-01-8331-46,1,0.01
16-01-8335-46,1,0.01
16-01-8337-46,1,0.01
16-01-8813-46,1,0.01
16-01-8849-46,1,0.01
16-01-9067-46,1,0.01
16-01-2171-46,1,0.01
16-01-2301-46,1,0.01
16-01-2302-46,1,0.01
16-01-2947-46,1,0.01
16-01-3041-46,1,0.01
16-01-6190-46,1,0.01
16-01-6191-46,1,0.01
16-01-7308-46,1,0.01
16-01-1390-46,1,0.01
16-01-1393-46,1,0.01
16-01-1394-46,1,0.01
16-01-1401-46,1,0.01
16-01-1468-46,1,0.01
16-01-1469-46,1,0.01
16-01-1491-46,1,0.01
16-01-2156-46,1,0.01
16-01-1173-46,1,0.01
16-01-1174-46,1,0.01
16-01-1175-46,1,0.01
16-01-1176-46,1,0.01
16-01-1177-46,1,0.01
16-01-1259-46,1,0.01
16-01-1312-46,1,0.01
16-01-1313-46,1,0.01
16-03-0093-46,1,0.01
16-03-0095-46,1,0.01
16-03-0097-46,1,0.01
16-03-0104-46,1,0.01
16-03-0105-46,1,0.01
16-03-0106-46,1,0.01
16-03-0108-46,1,0.01
16-03-0109-46,1,0.01
16-03-0056-46,1,0.01
16-03-0076-46,1,0.01
16-03-0077-46,1,0.01
16-03-0082-46,1,0.01
16-03-0083-46,1,0.01
16-03-0087-46,1,0.01
16-03-0088-46,1,0.01
16-03-0092-46,1,0.01
16-01-9991-46,1,0.01
16-02-0013-46,1,0.01
16-02-0018-46,1,0.01
16-02-0020-46,1,0.01
16-02-0053-46,1,0.01
16-02-0055-46,1,0.01
16-03-0036-46,1,0.01
16-03-0047-46,1,0.01
16-01-9095-46,1,0.01
16-01-9102-46,1,0.01
16-01-9260-46,1,0.01
16-01-9544-46,1,0.01
16-01-9851-46,1,0.01
16-01-9897-46,1,0.01
16-01-9956-46,1,0.01
16-01-9958-46,1,0.01
16-03-9884-46,1,0.01
16-03-9885-46,1,0.01
16-03-9886-46,1,0.01
16-04-0036-46,1,0.01
16-04-0041-46,1,0.01
16-04-0042-46,1,0.01
16-04-0043-46,1,0.01
16-04-0046-46,1,0.01
16-03-0275-46,1,0.01
16-03-0280-46,1,0.01
16-03-0281-46,1,0.01
16-03-0282-46,1,0.01
16-03-1388-46,1,0.01
16-03-1429-46,1,0.01
16-03-1520-46,1,0.01
16-03-1607-46,1,0.01
16-03-0262-46,1,0.01
16-03-0263-46,1,0.01
16-03-0265-46,1,0.01
16-03-0266-46,1,0.01
16-03-0270-46,1,0.01
16-03-0271-46,1,0.01
16-03-0272-46,1,0.01
16-03-0273-46,1,0.01
16-03-0110-46,1,0.01
16-03-0139-46,1,0.01
16-03-0158-46,1,0.01
16-03-0242-46,1,0.01
16-03-0243-46,1,0.01
16-03-0245-46,1,0.01
16-03-0247-46,1,0.01
16-03-0259-46,1,0.01
16-04-8324-46,1,0.01
16-04-9906-46,1,0.01
16-05-0017-46,1,0.01
16-05-0057-46,1,0.01
16-05-9091-46,1,0.01
16-06-0090-46,1,0.01
16-06-0103-46,1,0.01
16-06-0104-46,1,0.01
16-04-0132-46,1,0.01
16-04-1233-46,1,0.01
16-04-1235-46,1,0.01
16-04-1709-46,1,0.01
16-04-2308-46,1,0.01
16-04-8320-46,1,0.01
16-04-8321-46,1,0.01
16-04-8322-46,1,0.01
16-04-0078-46,1,0.01
16-04-0079-46,1,0.01
16-04-0080-46,1,0.01
16-04-0118-46,1,0.01
16-04-0120-46,1,0.01
16-04-0122-46,1,0.01
16-04-0124-46,1,0.01
16-04-0128-46,1,0.01
16-04-0047-46,1,0.01
16-04-0049-46,1,0.01
16-04-0050-46,1,0.01
16-04-0062-46,1,0.01
16-04-0064-46,1,0.01
16-04-0068-46,1,0.01
16-04-0069-46,1,0.01
16-04-0072-46,1,0.01
16-07-0255-46,1,0.01
16-07-0257-46,1,0.01
16-07-0258-46,1,0.01
16-07-6948-46,1,0.01
16-07-6950-46,1,0.01
16-07-9096-46,1,0.01
16-07-9103-46,1,0.01
16-07-9639-46,1,0.01
16-07-0213-46,1,0.01
16-07-0214-46,1,0.01
16-07-0215-46,1,0.01
16-07-0216-46,1,0.01
16-07-0217-46,1,0.01
16-07-0221-46,1,0.01
16-07-0252-46,1,0.01
16-07-0253-46,1,0.01
16-07-0194-46,1,0.01
16-07-0195-46,1,0.01
16-07-0196-46,1,0.01
16-07-0197-46,1,0.01
16-07-0206-46,1,0.01
16-07-0207-46,1,0.01
16-07-0209-46,1,0.01
16-07-0211-46,1,0.01
16-06-0106-46,1,0.01
16-06-0143-46,1,0.01
16-06-0145-46,1,0.01
16-06-0146-46,1,0.01
16-06-2398-46,1,0.01
16-07-0117-46,1,0.01
16-07-0150-46,1,0.01
16-07-0181-46,1,0.01
16-09-0748-46,1,0.01
16-09-0750-46,1,0.01
16-09-0756-46,1,0.01
16-09-0760-46,1,0.01
16-09-0763-46,1,0.01
16-09-0796-46,1,0.01
16-09-0806-46,1,0.01
