DIRECCION,Frecuencia,Porcentaje
CABECERA MUNICIPAL,323,2.72
BARRIO EL CENTRO,77,0.65
<<FALTANTE>>,76,0.64
ZONA 1,29,0.24
BARRIO EL CALVARIO,19,0.16
BARRIO SAN SEBASTIAN,16,0.13
BARRIO LAS FLORES,16,0.13
CALLE PRINCIPAL,16,0.13
BARRIO EL PORVENIR,15,0.13
ALDEA CAMOJALLITO,14,0.12
ZONA 1 PLAYA GRANDE,14,0.12
BARRIO LA REFORMA,13,0.11
BARRIO EL MITCHAL,13,0.11
ALDEA PLAYITAS,13,0.11
BARRIO EL CEMENTERIO,12,0.1
AVENIDA SIMEON CAÑAS 3-37,12,0.1
ALDEA EL NARANJO,12,0.1
ALDEA BUENA VISTA,12,0.1
11 CALLE 3-59,11,0.09
BARRIO EL CARRIZAL,11,0.09
BARRIO LA CASONA,11,0.09
BARRIO LA LIBERTAD,11,0.09
BARRIO GUAYTAN,11,0.09
ALDEA LAS POZAS,11,0.09
CANTÓN SAN SEBASTIÁN,11,0.09
12 CALLE 10-37,11,0.09
7A. AVENIDA 1-88 ZONA 2,10,0.08
BARRIO MAGDALENA,10,0.08
BARRIO SAN PABLO,10,0.08
"4TA. AVENIDA NORTE 1RA. CALLE  ""A""  LOTIFICACIÓN EL BILBAO",10,0.08
ALDEA FRONTERAS RIO DULCE,9,0.08
BARRIO 3 DE ABRIL,9,0.08
COLONIA VISTA HERMOSA,9,0.08
BARRIO SAN LORENZO,9,0.08
ALDEA ENTRE RIOS,9,0.08
CALLE 3 DE MAYO,9,0.08
COLONIA MORÁN,8,0.07
4A. AVENIDA 2-39 ZONA 1,8,0.07
BARRIO LA DEMOCRACIA,8,0.07
BARRIO EL BARREAL,8,0.07
BARRIO NUEVO,8,0.07
BARRIO CENTRAL,8,0.07
CALZADA SAN JUAN 31-47,8,0.07
BARRIO SANTA ELENA,8,0.07
BARRIO SANTA MARIA,8,0.07
15 CALLE 3-29,8,0.07
ALDEA LAS CRUCES,7,0.06
21 AVENIDA 3-61 ZONA 3,7,0.06
2A. CALLE 1-73 ZONA 2,7,0.06
CALZADA 15 DE SEPTIEMBRE 5-250,7,0.06
6A. AVENIDA NORTE 4-28 ZONA 1,7,0.06
13 CALLE 9-60,7,0.06
COLONIA EL CARMEN,7,0.06
12 CALLE 4-57 ZONA 1,7,0.06
"RUTA 4 12-68 ZONA 5, BARRIO SANTA ELENA",7,0.06
AV. SIMEON CAÑAS 3-37,7,0.06
2A. CALLE 2-45 ZONA 4,7,0.06
1A. CALLE 1-63 ZONA 5,7,0.06
ALDEA TIERRA BLANCA,7,0.06
"KM. 4.5 CARRETERA A LA MAQUINA, INGENIO TULULA",7,0.06
CALLE MARTI 14-49,7,0.06
ALDEA ESTANZUELA,7,0.06
ALDEA RIO NEGRO,7,0.06
ALDEA SAN LUIS,7,0.06
8A. AVENIDA 3-59 ZONA 2,7,0.06
LOTIFICACION LOLITA NO. 5 ZONA 4,7,0.06
4A. CALLE 9-20 ZONA 1,7,0.06
ALDEA LOS ANGELES,7,0.06
ALDEA TICANLÚ,7,0.06
"DIAGONAL 19, AVENIDA PETAPA, 40-54",7,0.06
BARRIO SANTIAGO,7,0.06
CHÁCARA SAN JOAQUÍN INTERIOR NO. 5 COLONIA EL JARDÍN,7,0.06
BARRIO SAN SEBASTIAN SAN AGUSTIN ACASAGUASTLAN,6,0.05
ALDEA TELEMAN,6,0.05
ALDEA IXLU,6,0.05
CALZADA ASIOLE 10-55,6,0.05
1A. CALLE BARRIO LA ESPERANZA ZONA 2,6,0.05
ZACULEU CENTRAL ZONA 9,6,0.05
1A. CALLE 9-307 ZONA 4,6,0.05
"8A. AVENIDA 10-08 (INTERIOR LOTE 22) CANTÓN EL MATAZANO, ZONA 4",6,0.05
BARRIO LA FEDERAL,6,0.05
25 CALLE 1-49,6,0.05
5TA. CALLE 5-43 ZONA 1,6,0.05
"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",6,0.05
11 CALLE 1-53,6,0.05
1A. CALLE 2-39 ZONA 4,6,0.05
BARRIO LA ESTACION,6,0.05
2A. CALLE 6-35 ZONA 1,6,0.05
KM. 169 CARRETERA AL PACIFICO,6,0.05
CENTRO,6,0.05
12 CALLE 5-03 ZONA 1,6,0.05
BARRIO BUENOS AIRES,6,0.05
"LOTE NO. 100, CALLE PANAMÁ",6,0.05
6A. AVENIDA 2-21 ZONA 1,6,0.05
AVENIDA PETAPA 30-64,6,0.05
2A. CALLE 12-23 ZONA 4,6,0.05
12 CALLE 9-47,6,0.05
"COLONIA CHINA, BARRIO LA PARROQUIA",6,0.05
PARCELAMIENTO CHIQUIRINES,6,0.05
6A. AVENIDA 6-54 ZONA 1,6,0.05
PARCELAMIENTO LA BLANCA,6,0.05
"CALLE DEL BANCO, BARRIO 6 DE NOVIEMBRE",6,0.05
BARRIO LA JOYA,6,0.05
6A. CALLE 0-25,6,0.05
"4TA. CALLE 3-36, ZONA 1, BARRIO LOS TRES REYES",6,0.05
CALLE 3 DE MAYO 2-33 ZONA 1,6,0.05
3A. CALLE 2-05 ZONA 2,6,0.05
5A. AVENIDA 4-65 ZONA 1,6,0.05
"CASERÍO SAN JOSÉ LA FRONTERA, ALDEA SAN LUIS",6,0.05
AVENIDA CENTRAL 2-71 ZONA 2,6,0.05
0 CALLE 9-33 ZONA 3,6,0.05
1A. CALLE 13-59,6,0.05
CALLE CHIPILAPA NO. 11,6,0.05
"COLONIA SANTA FILOMENA, ZONA 2",6,0.05
BARRIO ARRIBA,6,0.05
20 AVENIDA 1-07 ZONA 1,6,0.05
1 CALLE 1-1 ZONA 4,6,0.05
10A. CALLE 3-15,6,0.05
BARRIO SAN SEBASTIÁN,6,0.05
4A. CALLE 0-05 ZONA 1,6,0.05
"2A CALLE 3-60 ZONA 1, BARRIO LA BATALLA",6,0.05
43A. CALLE 19-35 COLONIA LA COLINA,6,0.05
11 CALLE 19-19 ZONA 1,6,0.05
"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",6,0.05
BARRIO EL PARAISO,6,0.05
"30 AVENIDA 5-19 ZONA 4, COLONIA BOSQUES DE SAN NICOLÁS",6,0.05
7A CALLE 3-40 ZONA 1,6,0.05
1A. AVENIDA 1-41 ZONA 2 ALDEA EL PORVENIR,6,0.05
3A. CALLE 6-125 ZONA 4,6,0.05
CASERIO CRUCE DOS AGUADAS,6,0.05
8A CALLE 0-30,5,0.04
1A. AVENIDA SUR FINAL 12-70 ZONA 2,5,0.04
12A. CALLE 4-57 ZONA 1,5,0.04
4A. AVENIDA 9-65,5,0.04
ALDEA EL DURAZNO,5,0.04
BARRIO EL REMOLINO,5,0.04
"1A. AVENIDA 2-71 ZONA 4, SANTA INÉS",5,0.04
BARRIO SAN NICOLAS,5,0.04
12 CALLE 4-45 ZONA 1,5,0.04
4A. CALLE 5-52,5,0.04
"KM 15 CARRETERA ROOSEVELT, SUPER CENTRO MOLINO, LOCAL 118 ZONA 2 MIXCO",5,0.04
9A. CALLE 3-40,5,0.04
7A. AVENIDA 8-31 ZONA 1,5,0.04
"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",5,0.04
CANTÓN VISTA HERMOSA,5,0.04
ALDEA SAN ANTONIO SEJA,5,0.04
5A. CALLE 9-38 ZONA 4,5,0.04
ALDEA TICANLÚ KM. 178.3,5,0.04
BARRIO SAN FRANCISCO,5,0.04
5A. AVENIDA 6-49 ZONA 1,5,0.04
CALZADA AGUILAR BATRES 30-67,5,0.04
6A. AVENIDA 8-94 ZONA 1,5,0.04
3A. CALLE 6-49 ZONA 4,5,0.04
ALDEA EL CHAL,5,0.04
CASERIO VISTA HERMOSA,5,0.04
2A. CALLE 11-65,5,0.04
6A. CALLE 2-12 ZONA 1,5,0.04
13 CALLE 3-23,5,0.04
2A. AVENIDA 3-59,5,0.04
1RA.AVENIDA ZONA 1,5,0.04
PRIMER CANTÓN,5,0.04
9A. CALLE 0-39,5,0.04
BARRIO SAN JUAN,5,0.04
1A. AVENIDA 7-12,5,0.04
BARRIO VISTA HERMOSA,5,0.04
4A. AVENIDA 15-57,5,0.04
12 CALLE 4-17,5,0.04
ALDEA PUEBLO NUEVO,5,0.04
4A. CALLE 0-35,5,0.04
SANTA ELENA,5,0.04
COLONIA BETHEL,5,0.04
"CASERÍO CUATRO CAMINOS, ALDEA LA TEJERA",5,0.04
SANTA ELENA DE LA CRUZ,5,0.04
"BARRIO ESQUIPULAS, ZONA 6",5,0.04
BARRIO EL CIELITO,5,0.04
LOTE 392 CALLE CENTRAL,5,0.04
7A. AV. 6-98 VIA ARGENTINA LAS TERRAZAS SAN CRISTOBAL ZONA 8,5,0.04
AV. BOLIVAR 30-00,5,0.04
"4A. CALLE 09-103, ZONA 1",5,0.04
2A. CALLE 10-77,5,0.04
8A. CALLE 0-30,5,0.04
1A. AVENIDA 4-52 ZONA 4,5,0.04
.,5,0.04
CANTÓN LA CRUZ,5,0.04
"4TA. AVENIDA 7MA. CALLE ESQUINA, ZONA 2 CANTÓN MORAZÁN",5,0.04
CANTON SAN LORENZO,5,0.04
ALDEA EL AMATILLO,5,0.04
COLONIA EL MAESTRO,5,0.04
"15 AVENIDA ""B"" 10-23",5,0.04
14 CALLE 6-82,5,0.04
6A. AVENIDA 3-48 ZONA 5,5,0.04
BARRIO LA PAZ,5,0.04
ALDEA EL TECOMATE,5,0.04
4A. AVENIDA 4-49,5,0.04
"AVENIDA DEL COMERCIO 7-33, ZONA 1",5,0.04
10A. AVENIDA 11-27,5,0.04
4TA. CALLE 1-70 GRANJA LAS JOYAS ZONA 8 SAN MIGUEL PETAPA,5,0.04
8A. CALLE 5-42 ZONA 1,5,0.04
6A. AVENIDA 18-23,5,0.04
SAN LORENZO,5,0.04
ALDEA POTRERO GRANDE,5,0.04
ZONA 2,5,0.04
BARRIO LA ERMITA,5,0.04
9A. CALLE 0-50 ZONA 1,5,0.04
"4A. AVENIDA 1-074, ZONA 1",5,0.04
2A. CALLE 2-85 ZONA 3,5,0.04
ALDEA AGUA CALIENTE,5,0.04
"0 AVENIDA 1-71 ZONA 5, SAN CRISTOBAL VERAPAZ",5,0.04
ALDEA AYARZA,5,0.04
AVENIDA HINCAPIE 21-14,5,0.04
7A. AVENIDA 7-13 ZONA 1,5,0.04
3A. CALLE 3-59,5,0.04
3A. CALLE 9-98 ZONA 1,5,0.04
9A. CALLE 2-64,5,0.04
8A. CALLE 12-46,5,0.04
ZONA 10,5,0.04
7A. AVENIDA 10-38,5,0.04
"BOULEVARD EL FRUTAL 14-00, CENTRO COMERCIAL EL FRUTAL, TERCER NIVEL, ZONA 5",5,0.04
5A AVENIDA 2-24 ZONA 1,5,0.04
2A. CALLE 2-75 ZONA 1,5,0.04
ALDEA LOS ANDES,5,0.04
BARRIO MODERNO,5,0.04
LOTE NO. 44,5,0.04
3A. AVENIDA 1-64 ZONA 2,5,0.04
2A. CALLE 7-53 ZONA 1,5,0.04
"1A. CALLE 1-48 ZONA 1, BARRIO REAL SAMUC",5,0.04
ALDEA NAHUALATE,5,0.04
