DISTRITO,Frecuencia,Porcentaje
26-010,293,10.4
<<FALTANTE>>,187,6.64
15-04-0903,57,2.02
15-04-0906,56,1.99
15-04-0905,55,1.95
15-04-0904,55,1.95
15-01-0893,54,1.92
15-03-0900,54,1.92
15-08-0916,52,1.85
15-02-0898,51,1.81
15-03-0902,50,1.78
15-02-0897,48,1.7
15-04-0907,48,1.7
15-01-0890,47,1.67
15-01-0892,47,1.67
15-03-0899,47,1.67
15-04-0908,47,1.67
15-05-0910,46,1.63
15-05-0909,46,1.63
15-08-0919,45,1.6
15-08-0918,44,1.56
15-03-0901,43,1.53
15-01-0894,42,1.49
15-002,42,1.49
15-02-0896,42,1.49
15-08-0917,42,1.49
15-01-0891,41,1.46
26-011,41,1.46
15-08-0921,41,1.46
15-08-0920,39,1.38
15-08-0922,37,1.31
15-01-0895,35,1.24
15-031,33,1.17
15-06-0912,33,1.17
15-07-0913,33,1.17
16-01-0924,32,1.14
16-03-0944,32,1.14
15-07-0914,32,1.14
15-07-0915,30,1.07
15-06-0911,29,1.03
15-001,27,0.96
16-031,23,0.82
16-01-0925,22,0.78
15-015,19,0.67
15-024,18,0.64
16-16-1020,17,0.6
16-01-0923,16,0.57
16-050,16,0.57
16-04-0947,16,0.57
16-07-0962,15,0.53
16-15-1013,15,0.53
15-021,14,0.5
15-034,13,0.46
15-006,13,0.46
15-029,13,0.46
16-09-0975,12,0.43
16-006,11,0.39
16-008,11,0.39
15-012,11,0.39
16-009,10,0.36
15-032,10,0.36
15-009,10,0.36
15-019,10,0.36
16-08-0963,9,0.32
15-011,9,0.32
15-026,9,0.32
15-003,9,0.32
16-09-0981,8,0.28
16-13-1003,8,0.28
15-004,8,0.28
24-020,8,0.28
15-022,8,0.28
16-015,7,0.25
16-019,7,0.25
16-12-0995,7,0.25
16-17-1023,7,0.25
15-016,7,0.25
26-019,7,0.25
16-01-0926,6,0.21
16-026,6,0.21
16-017,6,0.21
16-11-0992,6,0.21
26-031,6,0.21
15-014,6,0.21
16-10-0989,5,0.18
16-10-0988,5,0.18
16-022,5,0.18
16-14-1009,5,0.18
15-005,5,0.18
26-033,5,0.18
15-017,5,0.18
15-025,5,0.18
25-000,4,0.14
16-06-0954,4,0.14
16-024,4,0.14
16-028,4,0.14
16-15-1016,4,0.14
15-013,4,0.14
15-035,4,0.14
16-01-0938,3,0.11
16-005,3,0.11
16-02-0941,3,0.11
16-011,3,0.11
16-05-0950,3,0.11
16-036,3,0.11
16-007,3,0.11
16-09-0973,3,0.11
16-14-1010,3,0.11
15-030,3,0.11
15-010,3,0.11
15-018,3,0.11
15-023,3,0.11
24-021,3,0.11
16-01-0927,2,0.07
16-01-0939,2,0.07
16-046,2,0.07
16-07-0960,2,0.07
16-012,2,0.07
16-07-0958,2,0.07
16-08-0966,2,0.07
16-09-0979,2,0.07
16-09-0976,2,0.07
16-09-0982,2,0.07
16-09-0974,2,0.07
16-09-0977,2,0.07
16-09-0969,2,0.07
16-10-0990,2,0.07
16-021,2,0.07
16-12-0997,2,0.07
16-12-0999,2,0.07
16-13-1006,2,0.07
16-13-1005,2,0.07
16-027,2,0.07
16-14-1012,2,0.07
16-030,2,0.07
15-020,2,0.07
16-01-0937,1,0.04
16-01-0930,1,0.04
16-01-0940,1,0.04
16-03-0945,1,0.04
16-004,1,0.04
16-06-0953,1,0.04
16-07-0961,1,0.04
16-08-0967,1,0.04
16-08-0965,1,0.04
16-08-0964,1,0.04
16-013,1,0.04
16-09-0980,1,0.04
16-018,1,0.04
16-09-0984,1,0.04
16-016,1,0.04
16-09-0968,1,0.04
16-09-0971,1,0.04
16-09-0985,1,0.04
16-033,1,0.04
16-10-0991,1,0.04
16-11-0994,1,0.04
16-023,1,0.04
16-12-1000,1,0.04
16-12-0998,1,0.04
16-13-1008,1,0.04
16-14-1011,1,0.04
16-048,1,0.04
16-029,1,0.04
16-15-1014,1,0.04
16-15-1018,1,0.04
16-15-1017,1,0.04
16-16-1021,1,0.04
16-16-1019,1,0.04
27-015,1,0.04
26-025,1,0.04
15-033,1,0.04
