ESTABLECIMIENTO,Frecuencia,Porcentaje
EORM,683,24.25
EODP ANEXA A EORM,246,8.74
EDAC -PRONADE-,135,4.79
EODP,134,4.76
INEB DE TELESECUNDARIA,126,4.47
EDAC - PRONADE -,107,3.8
EDAC -PRONADE- ANEXA,82,2.91
COPB ANEXO A EORM,72,2.56
INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,50,1.78
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,47,1.67
EDAC PRONADE ANEXA,43,1.53
COPB ANEXA A EORM,32,1.14
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,28,0.99
INEB,25,0.89
EDAC PRONADE,25,0.89
EOUM,19,0.67
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,17,0.6
EODP ANEXA EORM,16,0.57
COPB,15,0.53
CEIN -PAIN-,15,0.53
COLEGIO PARTICULAR MIXTO NUEVO AMANECER,14,0.5
LICEO INTEGRAL PURULENSE VICTORIA,11,0.39
COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,10,0.36
IEBC DE ENSEÑANZA,10,0.36
COLEGIO PARTICULAR BAUTISTA MIXTO,10,0.36
COLEGIO CRISTIANO PARTICULAR MIXTO VIDA,9,0.32
EODP ANEXA A EOUM,9,0.32
COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL,9,0.32
INEB INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,9,0.32
COLEGIO PARTICULAR MIXTO BLAISE PASCAL,8,0.28
COLEGIO PARTICULAR MIXTO TEZULUTLAN,8,0.28
CEIN PAIN,8,0.28
CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO,8,0.28
INSTITUTO MIXTO PARTICULAR VERAPAZ,8,0.28
INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,7,0.25
COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,7,0.25
COPB ANEXO EORM,7,0.25
EDAC - PRONADE - ANEXA,7,0.25
COLEGIO PARTICULAR MIXTO SANTO DOMINGO,7,0.25
INSTITUTO AKALTIC,6,0.21
CENTRO EDUCATIVO INFANTIL MONTESSORIANO,6,0.21
CENTRO EDUCATIVO NUEVA ESPERANZA,6,0.21
COLEGIO INTERCULTURAL TUNCAJ,6,0.21
LICEO AMANECER EN VICTORIA,6,0.21
COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,5,0.18
LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA,5,0.18
COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,5,0.18
LICEO INTERCULTURAL VERAPACENSE,5,0.18
COLEGIO PRIVADO MIXTO LA ENSEÑANZA,5,0.18
COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,5,0.18
CENTRO DE EDUCACIÓN EXTRAESCOLAR,5,0.18
CENTRO EDUCATIVO VERAPAZ DEL SUR,5,0.18
CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS,5,0.18
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,5,0.18
COLEGIO INTEGRAL NUEVA GENERACIÓN,5,0.18
COLEGIO PARTICULAR MIXTO PURULHÁ PROFESORA MARÍA ZOE LÓPEZ,5,0.18
COLEGIO PARTICULAR MIXTO IMPERIAL,4,0.14
INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,4,0.14
LICEO MIGUEL ANGEL ASTURIAS,4,0.14
LICEO MIXTO EN COMPUTACION DEL NORTE,4,0.14
COLEGIO DE INFORMATICA CENINFAV,4,0.14
LICEO PREUNIVERSITARIO DEL NORTE,4,0.14
