,Tipo,No nulos,Nulos,% Nulos,Valores únicos
CODIGO,str,2816,0,0.0,2816
DISTRITO,str,2629,187,6.64,171
DEPARTAMENTO,str,2816,0,0.0,2
MUNICIPIO,str,2816,0,0.0,25
ESTABLECIMIENTO,str,2815,1,0.04,487
DIRECCION,str,2804,12,0.43,1467
TELEFONO,str,1938,878,31.18,1553
SUPERVISOR,str,2629,187,6.64,130
DIRECTOR,str,2093,723,25.67,1640
NIVEL,str,2816,0,0.0,7
SECTOR,str,2816,0,0.0,4
AREA,str,2816,0,0.0,3
STATUS,str,2816,0,0.0,4
MODALIDAD,str,2816,0,0.0,2
JORNADA,str,2816,0,0.0,5
PLAN,str,2816,0,0.0,10
DEPARTAMENTAL,str,2816,0,0.0,2
